causa;severidade;ssot_sigla;pastas_afetadas;acao_recomendada
D_PASTA_ORFA_DOS;MEDIA;;CIAMA_DOSSIE;"Decisão: arquivar em _ARQUIVO_ORFA/CIAMA_DOSSIE ou remapear"
D_PASTA_ORFA_DOS;MEDIA;;DEFESA_CIVIL_DOSSIE;"Decisão: arquivar em _ARQUIVO_ORFA/DEFESA_CIVIL_DOSSIE ou remapear"
D_PASTA_ORFA_DOS;MEDIA;;DESCONHECIDO_DOSSIE;"Decisão: arquivar em _ARQUIVO_ORFA/DESCONHECIDO_DOSSIE ou remapear"
D_PASTA_ORFA_DOS;MEDIA;;FAPEAM_DOSSIE;"Decisão: arquivar em _ARQUIVO_ORFA/FAPEAM_DOSSIE ou remapear"
D_PASTA_ORFA_DOS;MEDIA;;FEPIAM_DOSSIE;"Decisão: arquivar em _ARQUIVO_ORFA/FEPIAM_DOSSIE ou remapear"
D_PASTA_ORFA_DOS;MEDIA;;IMPRENSA_OFICIAL_DOSSIE;"Decisão: arquivar em _ARQUIVO_ORFA/IMPRENSA_OFICIAL_DOSSIE ou remapear"
D_PASTA_ORFA_DOS;MEDIA;;JUCEA_DOSSIE;"Decisão: arquivar em _ARQUIVO_ORFA/JUCEA_DOSSIE ou remapear"
D_PASTA_ORFA_DOS;MEDIA;;PGJ_DOSSIE;"Decisão: arquivar em _ARQUIVO_ORFA/PGJ_DOSSIE ou remapear"
D_PASTA_ORFA_DOS;MEDIA;;PROCON_DOSSIE;"Decisão: arquivar em _ARQUIVO_ORFA/PROCON_DOSSIE ou remapear"
D_PASTA_ORFA_DOS;MEDIA;;SECOM_DOSSIE;"Decisão: arquivar em _ARQUIVO_ORFA/SECOM_DOSSIE ou remapear"
D_PASTA_ORFA_DOS;MEDIA;;SEDURB_DOSSIE;"Decisão: arquivar em _ARQUIVO_ORFA/SEDURB_DOSSIE ou remapear"
D_PASTA_ORFA_DOS;MEDIA;;SEPA_DOSSIE;"Decisão: arquivar em _ARQUIVO_ORFA/SEPA_DOSSIE ou remapear"
D_PASTA_ORFA_DOS;MEDIA;;SRMM_DOSSIE;"Decisão: arquivar em _ARQUIVO_ORFA/SRMM_DOSSIE ou remapear"
D_PASTA_ORFA_DOS;MEDIA;;SUBCOMADEC_DOSSIE;"Decisão: arquivar em _ARQUIVO_ORFA/SUBCOMADEC_DOSSIE ou remapear"
D_PASTA_ORFA_DOS;MEDIA;;TCE_DOSSIE;"Decisão: arquivar em _ARQUIVO_ORFA/TCE_DOSSIE ou remapear"
D_PASTA_ORFA_DOS;MEDIA;;UEA_DOSSIE;"Decisão: arquivar em _ARQUIVO_ORFA/UEA_DOSSIE ou remapear"
D_PASTA_ORFA_DOS;MEDIA;;UGPE_DOSSIE;"Decisão: arquivar em _ARQUIVO_ORFA/UGPE_DOSSIE ou remapear"
